City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,wind Speed
paamiut,100,GL,1563410569,94,61.99,-49.67,42.72,26.11
sinor,20,IN,1563411158,79,21.91,73.34,84.2,9.17
ushuaia,75,AR,1563411159,52,-54.81,-68.31,41.0,17.22
viedma,100,AR,1563411160,51,-40.81,-62.99,60.0,20.38
sitka,4,US,1563411161,36,37.17,-99.65,96.01,13.0
kapaa,90,US,1563411163,78,22.08,-159.32,87.8,13.87
new norfolk,75,AU,1563411164,57,-42.78,147.06,50.0,5.82
arraial do cabo,26,BR,1563411165,72,-22.97,-42.02,66.48,5.61
xuddur,42,SO,1563410894,78,4.12,43.89,70.26,16.82
rikitea,20,PF,1563411167,75,-23.12,-134.97,71.52,24.07
vaini,75,IN,1563411168,100,15.34,74.49,69.8,5.82
maningrida,53,AU,1563411169,68,-12.05,134.23,70.08,10.6
gao,65,ML,1563411171,22,16.28,-0.04,98.88,3.6
albany,1,US,1563411033,100,42.65,-73.75,75.2,3.36
atuona,12,PF,1563411173,71,-9.8,-139.03,80.16,12.82
salalah,75,OM,1563411174,94,17.01,54.1,78.8,6.93
ternate,90,PH,1563411175,100,14.29,120.72,82.99,11.41
baherden,0,TM,1563411176,49,38.44,57.43,79.8,2.1
chokurdakh,100,RU,1563411178,77,70.62,147.9,39.84,8.77
hermanus,61,ZA,1563411179,74,-34.42,19.24,63.0,1.01
neuquen,0,AR,1563411024,37,-38.95,-68.06,53.6,13.87
angoche,21,MZ,1563411181,94,-16.23,39.91,65.4,4.18
guane,99,CU,1563411182,70,22.2,-84.09,85.38,7.74
bluff,0,AU,1563411183,41,-23.58,149.07,60.72,3.11
henties bay,0,NA,1563411185,58,-22.12,14.28,61.8,13.56
mataura,99,NZ,1563411186,77,-46.19,168.86,50.0,1.99
hibbing,90,US,1563411187,83,47.43,-92.94,80.6,12.75
kstovo,90,RU,1563411188,93,56.15,44.2,62.6,4.47
mandalgovi,100,MN,1563410924,64,45.76,106.27,66.84,6.69
ixtapa,90,MX,1563411190,100,20.71,-105.21,82.4,3.36
vilhena,97,BR,1563411007,43,-12.74,-60.15,78.54,1.77
constitucion,75,MX,1563411192,24,23.99,-104.67,80.6,6.93
yellowknife,75,CA,1563411194,39,62.45,-114.38,78.8,8.05
singaraja,61,ID,1563411195,71,-8.11,115.08,79.08,3.91
quang ngai,100,VN,1563411196,79,15.12,108.8,76.92,3.09
longyearbyen,40,NO,1563411116,75,78.22,15.63,42.8,8.05
cienfuegos,75,CU,1563411198,78,22.15,-80.44,75.2,3.36
kizukuri,75,JP,1563411199,78,40.81,140.39,79.0,5.82
port alfred,66,ZA,1563411200,79,-33.59,26.89,57.99,4.94
duku,100,ID,1563411201,83,-1.19,100.47,81.06,12.88
